filename,authors,year,sub_estimate,citation,data_source,preference,presentation,task,species_1,species_2,common_name,stimulus,modality,stimulus_type,weber_reported,exclude,source,model,search_date
dehnhardt1994,Dehnhardt,1994,,"Dehnhardt, G., 1994. Tactile size discrimination by a California sea lion (Zalophus californianus) using its mystacial vibrissae. J Comp Physiol A 175, 791–800. https://doi.org/10.1007/BF00191851",Fig 3A-D,conditioned,simultaneous,rank,Zalophus,californianus,California sea lion,Size,touch,size,yes,,Database,binomial,2022
dehnhardt1996,Dehnhardt and Dücker,1996,,"Dehnhardt, G., Dücker, G., 1996. Tactual discrimination of size and shape by a California sea lion (Zalophus californianus). Animal Learning & Behavior 24, 366–374. https://doi.org/10.3758/BF03199008",Figure 3A,conditioned,simultaneous,rank,Zalophus,californianus,California sea lion,Size,touch,size,yes,,Database,binomial,2022
dixit2022,Dixit et al.,2022,,"Dixit, T., Apostol, A.L., Chen, K.-C., Fulford, A.J.C., Town, C.P., Spottiswoode, C.N., 2022. Visual complexity of egg patterns predicts egg rejection according to Weber’s law. Proc R Soc B 289, 20220710. https://doi.org/10.1098/rspb.2022.0710","Dryad | Data -- Visual complexity of egg patterns predicts egg rejection according to Weber’s law [WWW Document], n.d. URL https://datadryad.org/stash/dataset/doi:10.5061/dryad.nvx0k6dvh (accessed 2.10.25).",innate,simultaneous,difference,Prinia,subflava,Tawny-flanked prinia,Egg complexity,vision,complexity,yes,,Database,binomial,2022
firzlaff2006,Firzlaff et al.,2006,,"Firzlaff, U., Schörnich, S., Hoffmann, S., Schuller, G., Wiegrebe, L., 2006. A neural correlate of stochastic echo imaging. J Neurosci 26, 785–791. https://doi.org/10.1523/JNEUROSCI.3478-05.2006",Email,conditioned,sequential,difference,Phyllostomus,discolor,Pale spear-nosed bat,Echo roughness,hearing,complexity,no,,Database,binomial,2022
franks2005_num,Franks et al.,2005,number,"Franks, N.R., Dornhaus, A., Metherell, B.G., Nelson, T.R., Lanfear, S.A.J., Symes, W.S., 2005. Not everything that counts can be counted: ants use multiple metrics for a single nest trait. Proceedings of the Royal Society B: Biological Sciences 273, 165–169. https://doi.org/10.1098/rspb.2005.3312",Table 1,innate,simultaneous,rank,Temnothorax,albipennis,Rock ant,Number,vision,number,yes,,Database,binomial,2024
franks2005_width,Franks et al.,2005,width,"Franks, N.R., Dornhaus, A., Metherell, B.G., Nelson, T.R., Lanfear, S.A.J., Symes, W.S., 2005. Not everything that counts can be counted: ants use multiple metrics for a single nest trait. Proceedings of the Royal Society B: Biological Sciences 273, 165–169. https://doi.org/10.1098/rspb.2005.3312",Table 1,innate,simultaneous,rank,Temnothorax,albipennis,Rock ant,Width,touch,size,yes,AIC plot,Database,binomial,2024
frech2012,Frech et al.,2012,,"Frech, B., Vogtsberger, M., Neumeyer, C., 2012. Visual discrimination of objects differing in spatial depth by goldfish. J Comp Physiol A 198, 53–60. https://doi.org/10.1007/s00359-011-0685-y",Fig 3,conditioned,simultaneous,difference,Carassius,auratus,Goldfish,Distance,vision,size,yes,,Database,binomial,2022
garderes2024,Garderes et al.,2024,,"Gardères, P.-M., Le Gal, S., Rousseau, C., Mamane, A., Ganea, D.A., Haiss, F., 2024. Coexistence of state, choice, and sensory integration coding in barrel cortex LII/III. Nat Commun 15, 4782. https://doi.org/10.1038/s41467-024-49129-9",Fig 1D,conditioned,simultaneous,rank,Mus,musculus,House mouse,Vibrotactile frequency,touch,frequency,no,AIC plot,Database,binomial,2024
gazes2017_food_capuchin,Gazes et al.,2017,"food, capuchins","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9",Email,innate,simultaneous,rank,Sapajus,apella,Capuchin,Quantity,vision,number,yes,,Database,binomial,2024
gazes2017_food_SM,Gazes et al.,2017,"food, spider monkeys","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9",Email,innate,simultaneous,rank,Saimiri,sciureus,Squirrel monkey,Quantity,vision,number,yes,,Database,binomial,2024
gazes2017_pebbles_capuchin,Gazes et al.,2017,"pebbles, capuchins","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9",Email,conditioned,simultaneous,rank,Sapajus,apella,Capuchin,Quantity,vision,number,yes,,Database,binomial,2024
gazes2017_pebbles_SM,Gazes et al.,2017,"pebbles, spider monkeys","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9",Email,conditioned,simultaneous,rank,Saimiri,sciureus,Squirrel monkey,Quantity,vision,number,yes,,Database,binomial,2024
gerdjikov2018,Gerdjikov et al. 2018,2018,,"Gerdjikov, T.V., Bergner, C.G., Schwarz, C., 2018. Global Tactile Coding in Rat Barrel Cortex in the Absence of Local Cues. Cerebral Cortex 28, 2015–2027. https://doi.org/10.1093/cercor/bhx108",Fig 1c,conditioned,sequential,difference,Rattus,norvegicus,Brown rat,Vibrotactile frequency,touch,frequency,yes,AIC plot,Database,binomial,2022
gomezlaplaza2011,Gómez-Laplaza and Gerlai,2011,,"Gómez-Laplaza, L.M., Gerlai, R., 2011. Can angelfish (Pterophyllum scalare) count? Discrimination between different shoal sizes follows Weber’s law. Anim Cogn 14, 1–9. https://doi.org/10.1007/s10071-010-0337-6",Fig 2,innate,simultaneous,rank,Pterophyllum,scalare,Angelfish,No. conspecifics,vision,number,yes,,Review,binomial,2022
hampson2010_duration,Hampson et al.,2010,duration,"Hampson, C.L., Body, S., den Boon, F.S., Cheung, T.H.C., Bezzina, G., Langley, R.W., Fone, K.C.F., Bradshaw, C.M., Szabadi, E., 2010. Comparison of the effects of 2,5-dimethoxy-4-iodoamphetamine and D-amphetamine on the ability of rats to discriminate the durations and intensities of light stimuli. Behav Pharmacol 21, 11. https://doi.org/10.1097/FBP.0b013e328334707a",Fig 2a,conditioned,sequential,rank,Rattus,norvegicus,Brown rat,Duration,vision,duration,no,,Database,binomial,2022
hampson2010_intensity,Hampson et al.,2010,light intensity,"Hampson, C.L., Body, S., den Boon, F.S., Cheung, T.H.C., Bezzina, G., Langley, R.W., Fone, K.C.F., Bradshaw, C.M., Szabadi, E., 2010. Comparison of the effects of 2,5-dimethoxy-4-iodoamphetamine and D-amphetamine on the ability of rats to discriminate the durations and intensities of light stimuli. Behav Pharmacol 21, 11. https://doi.org/10.1097/FBP.0b013e328334707a",Fig 2b,conditioned,sequential,rank,Rattus,norvegicus,Brown rat,Light intensity,vision,intensity,no,,Database,binomial,2022
hanke2012,Wieskotten et al.,2011,,"Wieskotten, S., Mauck, B., Miersch, L., Dehnhardt, G., Hanke, W., 2011. Hydrodynamic discrimination of wakes caused by objects of different size or shape in a harbour seal (Phoca vitulina). The Journal of experimental biology 214, 1922–30. https://doi.org/10.1242/jeb.053926","Fig 4C (found in Hanke et al. 2012, Hydrodynamic hydrodynamic perception in pinnipeds)",conditioned,sequential,difference,Phoca,vitulina,Harbour seal,Size,touch,size,yes,,Database,binomial,2024
hauf2008_abs,Hauf et al.,2008,absolute,"Hauf, P., Prior, H., Sarris, V., 2008. Generalization gradients and representation modes after absolute and relative discrimination learning in young chickens. Behavioural Processes 78, 93–99. https://doi.org/10.1016/j.beproc.2008.01.005",Fig 3 top right,conditioned,simultaneous,difference,Gallus,gallus domesticus,Chicken,Size,vision,size,yes,,Database,binomial,2022
hauf2008_rel,Hauf et al.,2008,relative,"Hauf, P., Prior, H., Sarris, V., 2008. Generalization gradients and representation modes after absolute and relative discrimination learning in young chickens. Behavioural Processes 78, 93–99. https://doi.org/10.1016/j.beproc.2008.01.005",Fig 3 bottom right,conditioned,simultaneous,rank,Gallus,gallus domesticus,Chicken,Size,vision,size,yes,,Database,binomial,2022
hemingway2018,Hemingway et al.,2018,,"Hemingway, C.T., Ryan, M.J., Page, R.A., 2018. Cognitive constraints on optimal foraging in frog-eating bats. Anim Behav 143, 43–50. https://doi.org/10.1016/j.anbehav.2018.07.007","Hemingway et al._2018_data.csv [WWW Document], n.d. URL https://figshare.com/articles/dataset/Hemingway_et_al_2018_data_csv/6794081?file=12357545 (accessed 2.10.25).",innate,sequential,rank,Trachops,cirrhosus,Fringe-lipped bat,No. frogs,hearing,number,yes,,Database,binomial,2022
iwanir2019_salts,Iwanir et al.,2019,salts,"Iwanir, S., Ruach, R., Itskovits, E., Pritz, C.O., Bokman, E., Zaslaver, A., 2019. Irrational behavior in C. elegans arises from asymmetric modulatory effects within single sensory neurons. Nat Commun 10, 3202. https://doi.org/10.1038/s41467-019-11163-3",Supplementary data 1,innate,simultaneous,rank,Caenorhabditis,elegans,Roundworm,Concentration,taste,intensity,no,,Database,gaussian,2022
iwanir2019_volatiles,Iwanir et al.,2019,volatiles,"Iwanir, S., Ruach, R., Itskovits, E., Pritz, C.O., Bokman, E., Zaslaver, A., 2019. Irrational behavior in C. elegans arises from asymmetric modulatory effects within single sensory neurons. Nat Commun 10, 3202. https://doi.org/10.1038/s41467-019-11163-3",Supplementary data 1,innate,simultaneous,rank,Caenorhabditis,elegans,Roundworm,Concentration,smell,intensity,no,,Database,gaussian,2022
klink2004,Klink and Klump,2004,,"Klink, K.B., Klump, G.M., 2004. Duration discrimination in the mouse (Mus musculus). J Comp Physiol A 190, 1039–1046. https://doi.org/10.1007/s00359-004-0561-0",Fig 1,conditioned,sequential,difference,Mus,musculus,House mouse,Duration,hearing,duration,yes,,both,binomial,2022
kloepper2010,Kloepper et al.,2010,,"Kloepper, L.N., Nachtigall, P.E., Gisiner, R., Breese, M., 2010. Decreased echolocation performance following high-frequency hearing loss in the false killer whale (Pseudorca crassidens). Journal of Experimental Biology 213, 3717–3722. https://doi.org/10.1242/jeb.042788",Fig 2,conditioned,sequential,difference,Pseudorca,crassidens,False killer whale,Thickness,hearing,size,no,,Database,binomial,2022
kwek2023,Kwek et al.,2023,,"Kwek, B.Z.W., Zhou, W., Yu, L., Ding, G., Li, D., 2023. Female preference for males with lower pattern contrast follows Weber’s law of proportional processing in jumping spiders. Functional Ecology. https://doi.org/10.1111/1365-2435.14400","Kwek, B.Z.W., Zhou, W., Yu, L., Ding, G., Li, D., 2023. Data from: Female preference for males with lower pattern contrast follows Weber’s law of proportional processing in an ornate jumping spider. https://doi.org/10.5061/DRYAD.63XSJ3V62",innate,simultaneous,rank,Siler,semiglaucus,Jade jumping spider,Contrast,vision,contrast,yes,AIC plot,Database,gaussian,2022
labarbera2020,LaBarbera et al.,2020,,"LaBarbera, K., Nelson, P., Bee, M., 2020. Mate choice and the ‘opposite miss’ to Weber’s law: proportional processing governs signal preferences in a treefrog. Anim Behav 168, 199–209. https://doi.org/10.1016/j.anbehav.2020.08.014","LaBarbera, K., Nelson, P.B., Bee, M.A., 2020. Advertisement call length preferences of female Cope’s gray treefrogs (Hyla chrysoscelis) in two-alternative choice tests.",innate,simultaneous,rank,Hyla,chrysoscelis,Cope's gray treefrog,Call pulse no.,hearing,number,yes,,Database,binomial,2022
langen1999,Langen,1999,,"Langen, T.A., 1999. How western scrub-jays (Aphelocoma californica) select a nut:  effects of the number of options, variation in nut size,  and social competition among foragers. Anim Cogn 2, 223–233. https://doi.org/10.1007/s100710050043",Email,innate,sequential,rank,Aphelocoma,californica,Western scrub-jay,Weight,touch,size,yes,,Database,binomial,2024
lemus2009,Lemus et al.,2009,,"Lemus, L., Hernández, A., Romo, R., 2009. Neural encoding of auditory discrimination in ventral premotor cortex. Proceedings of the National Academy of Sciences 106, 14640–14645. https://doi.org/10.1073/pnas.0907505106",Fig 1B,conditioned,sequential,rank,Macaca,mulatta,Rhesus macaque,Sound flutter freq.,hearing,frequency,no,,Database,binomial,2022
limousin2009,Limousin and Greenfield,2009,,"Limousin, D., Greenfield, M.D., 2009. Evaluation of amplitude in male song: female waxmoths respond to fortissimo notes. Journal of Experimental Biology 212, 4091–4100. https://doi.org/10.1242/jeb.035345",Fig 1a,innate,simultaneous,rank,Achroia,grisella,Lesser wax moth,Sound amplitude,hearing,intensity,no,AIC plot,Database,binomial,2022
lind2013,Lind et al.,2013,,"Lind, O., Karlsson, S., Kelber, A., 2013. Brightness Discrimination in Budgerigars (Melopsittacus undulatus). PLOS ONE 8, e54650. https://doi.org/10.1371/journal.pone.0054650",Figure 2,conditioned,simultaneous,rank,Melopsittacus,undulatus,Budgerigar,Brightness,vision,intensity,no,,Database,binomial,2022
liu2005,Liu and Newsome,2005,,"Liu, J., Newsome, W.T., 2005. Correlation between Speed Perception and Neural Activity in the Middle Temporal Visual Area. J. Neurosci. 25, 711–722. https://doi.org/10.1523/JNEUROSCI.4034-04.2005",Figure 2,conditioned,simultaneous,rank,Macaca,mulatta,Rhesus macaque,Speed,vision,speed,no,,Database,binomial,2022
liu2010,Liu et al.,2010,,"Liu, Y., Qin, L., Zhang, X., Dong, C., Sato, Y., 2010. Neural correlates of auditory temporal-interval discrimination in cats. Behavioural Brain Research 215, 28–38. https://doi.org/10.1016/j.bbr.2010.06.013",Fig. 3,conditioned,sequential,difference,Felis,catus,Cat,Duration,hearing,duration,no,AIC plot,Database,binomial,2022
luna2005,Luna et al.,2005,,"Luna, R., Hernández, A., Brody, C.D., Romo, R., 2005. Neural codes for perceptual discrimination in primary somatosensory cortex. Nat Neurosci 8, 1210–1219. https://doi.org/10.1038/nn1513",Fig 2a-d,conditioned,,rank,Macaca,mulatta,Rhesus macaque,Vibrotactile frequency,touch,frequency,no,,Database,binomial,2024
maier1990,Maier and Klump,1990,,"Maier, E.H., Klump, G.M., 1990. Auditory duration discrimination in the European starling (Sturnus vulgaris). The Journal of the Acoustical Society of America 88, 616–621. https://doi.org/10.1121/1.399765",Fig. 1,conditioned,sequential,difference,Sturnus,vulgaris,Common starling,Sound freq.,hearing,frequency,yes,,Database,gaussian,2022
mayrhofer2013,Mayrhofer et al.,2013,,"Mayrhofer, J.M., Skreb, V., von der Behrens, W., Musall, S., Weber, B., Haiss, F., 2013. Novel two-alternative forced choice paradigm for bilateral vibrotactile whisker frequency discrimination in head-fixed mice and rats. J Neurophysiol 109, 273–284. https://doi.org/10.1152/jn.00488.2012",Fig 3,conditioned,simultaneous,difference,Rattus,norvegicus,Brown rat,Vibrotactile freq.,touch,frequency,no,,Database,binomial,2022
musall2014,Musall et al.,2014,,"Musall, S., von der Behrens, W., Mayrhofer, J.M., Weber, B., Helmchen, F., Haiss, F., 2014. Tactile frequency discrimination is enhanced by circumventing neocortical adaptation. Nat Neurosci 17, 1567–1573. https://doi.org/10.1038/nn.3821",Figure 1f,conditioned,simultaneous,difference,Rattus,norvegicus,Brown rat,Vibrotactile freq,touch,frequency,no,,Database,binomial,2022
nachev2013_bats,Nachev et al.,2013,bats,"Nachev, V., Stich, K.P., Winter, Y., 2013. Weber’s Law, the magnitude effect and discrimination of sugar concentrations in nectar-feeding animals. PLOS ONE 8, e74144. https://doi.org/10.1371/journal.pone.0074144",Email,innate,simultaneous,rank,Glossophaga,soricina,Pallas's long-tongued bat,Sugar conc.,taste,concentration,yes,,Review,binomial,2022
nachev2013_batscr,Nachev et al.,2012,,"Nachev, V., Winter, Y., 2012. The psychophysics of uneconomical choice: non-linear reward evaluation by a nectar feeder. Anim Cogn 15, 393–400. https://doi.org/10.1007/s10071-011-0465-7",Email,innate,simultaneous,rank,Glossophaga,commissarisi,Commissaris's long-tongued bat,Sugar conc.,taste,concentration,yes,,Review,binomial,2022
nachev2013_bumblebees,Nachev et al.,2013,bumblebees,"Nachev, V., Thomson, J.D., Winter, Y., 2013. The psychophysics of sugar concentration discrimination and contrast evaluation in bumblebees. Anim Cogn 16, 417–427. https://doi.org/10.1007/s10071-012-0582-y",Email,innate,simultaneous,rank,Bombus,impatiens,Common eastern bumble bee,Sugar conc.,taste,concentration,yes,,both,binomial,2022
nachev2013_honeybees,Sanderson,2006,,"Sanderson, C., 2006. A test of models predicting perceived versus actual rewards using the honeybee as a model system. University of Tulsa.",Email,innate,simultaneous,rank,Apis,mellifera,Western honey bee,Sugar conc.,taste,concentration,no,,Review,binomial,2022
nachev2013_hummingbirds,Hainsworth and Wolf,1976,,"Hainsworth, F.R., Wolf, L.L., 1976. Nectar Characteristics and food selection by hummingbirds. Oecologia 25, 101–113. https://doi.org/10.1007/BF00368847",Email,innate,simultaneous,rank,Trochilidae,spp.,Hummingbird spp.,Sugar conc.,taste,concentration,no,,Review,binomial,2022
nieder2003,Nieder and Miller,2003,,"Nieder, A., Miller, E.K., 2003. Coding of cognitive magnitude: compressed scaling of numerical information in the primate prefrontal cortex. Neuron 37, 149–157. https://doi.org/10.1016/S0896-6273(02)01144-3",Figure 3,conditioned,sequential,difference,Macaca,mulatta,Rhesus macaque,Quantity,vision,number,yes,,Review,binomial,2022
pacheco2014_arena,Pacheco and Bertram,2014,arena,"Pacheco, K., Bertram, S.M., 2014. How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis). PeerJ 2, e437. https://doi.org/10.7717/peerj.437",Supplemental,innate,simultaneous,rank,Gryllus,assimilis,Jamaican field cricket,Call amplitude,hearing,volume,no,,Database,gaussian,2022
pacheco2014_trackball,Pacheco and Bertram,2014,trackball,"Pacheco, K., Bertram, S.M., 2014. How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis). PeerJ 2, e437. https://doi.org/10.7717/peerj.437",Supplemental,innate,simultaneous,rank,Gryllus,assimilis,Jamaican field cricket,Call amplitude,hearing,volume,no,,Database,gaussian,2022
perna2012,Perna et al.,2012,,"Perna, A., Granovskiy, B., Garnier, S., Nicolis, S.C., Labédan, M., Theraulaz, G., Fourcassié, V., Sumpter, D.J.T., 2012. Individual rules for trail pattern formation in Argentine ants (Linepithema humile). PLoS Comput Biol 8, e1002592. https://doi.org/10.1371/journal.pcbi.1002592",Email,innate,simultaneous,rank,Linepithema,humile,Argentine ant,Pheromone conc.,smell,concentration,yes,,Review,binomial,2022
qi2022,Qi et al.,2022,,"Qi, J., Ye, C., Naskar, S., Inácio, A.R., Lee, S., 2022. Posteromedial thalamic nucleus activity significantly contributes to perceptual discrimination. PLOS Biology 20, e3001896. https://doi.org/10.1371/journal.pbio.3001896",Supplemental,conditioned,simultaneous,difference,Mus,musculus,House mouse,Grit,touch,frequency,no,AIC plot,Database,binomial,2024
qin2009,Qin et al.,2009,,"Qin, L; Liu, YC; Wang, JY; Li, SN; Sato, Y",Figure 6,conditioned,sequential,difference,Felis,catus,Domestic cat,Duration,hearing,duration,no,AIC plot,Database,binomial,2022
salinas2000,Salinas et al.,2000,,"Salinas, E., Hernández, A., Zainos, A., Romo, R., 2000. Periodicity and firing rate as candidate neural codes for the frequency of vibrotactile stimuli. J Neurosci 20, 5503–5515. https://doi.org/10.1523/JNEUROSCI.20-14-05503.2000",Fig. 1 b and c,conditioned,sequential,difference,Macaca,mulatta,Rhesus macaque,Sound freq.,hearing,frequency,no,,Database,binomial,2022
sanayei2018,Sanayei et al.,2018,,"Sanayei, M., Chen, X., Chicharro, D., Distler, C., Panzeri, S., Thiele, A., 2018. Perceptual learning of fine contrast discrimination changes neuronal tuning and population coding in macaque V4. Nat Commun 9, 4238. https://doi.org/10.1038/s41467-018-06698-w",Supplementary table 1,conditioned,sequential,rank,Macaca,mulatta,Rhesus macaque,Visual contrast level,vision,contrast,no,,Database,binomial,2022
schulze1999,Schulze and Scheich,1999,,"Schulze, H., Scheich, H., 1999. Discrimination learning of amplitude modulated tones in Mongolian gerbils. Neuroscience Letters 261, 13–16. https://doi.org/10.1016/S0304-3940(98)00991-4",Fig. 1,conditioned,sequential,difference,Meriones,unguiculatus,Mongolian gerbil,Sound freq.,hearing,frequency,no,,Database,binomial,2022
schwartz2001_percall,Schwartz et al.,2001,per call,"Schwartz, J.J., Buchanan, B.W., Gerhardt, H.C., 2001. Female mate choice in the gray treefrog (Hyla versicolor) in three experimental environments. Behav Ecol Sociobiol 49, 443–455. https://doi.org/10.1007/s002650100317",Email,innate,simultaneous,rank,Hyla,versicolor,Eastern gray treefrog,Pulses per call,hearing,number,no,,Database,binomial,2022
schwartz2001_total,Schwartz et al.,2001,total,"Schwartz, J.J., Buchanan, B.W., Gerhardt, H.C., 2001. Female mate choice in the gray treefrog (Hyla versicolor) in three experimental environments. Behav Ecol Sociobiol 49, 443–455. https://doi.org/10.1007/s002650100317",Email,innate,simultaneous,rank,Hyla,versicolor,Eastern gray treefrog,Call pulse no.,hearing,number,no,,Database,binomial,2022
schwarz2001,Schwarz and von der Emde,2001,,"Schwarz, S., von der Emde, G., 2001. Distance discrimination during active electrolocation in the weakly electric fish Gnathonemus petersii. J Comp Physiol A 186, 1185–1197. https://doi.org/10.1007/s003590000170",Fig 3A,conditioned,simultaneous,rank,Gnathonemus,petersii,Peters's elephantnose fish,Distance,electroreception,size,no,,Database,binomial,2022
stubbs1994,Stubbs et al.,1994,,"Stubbs, D.A., Dreyfus, L.R., Fetterman, J.G., Boynton, D.M., Locklin, N., Smith, L.D., 1994. Duration comparison: relative stimulus differences, stimulus age, and stimulus predictiveness. J Exp Anal Behav 62, 15–32. https://doi.org/10.1901/jeab.1994.62-15",Fig 6B,conditioned,sequential,rank,Columba,livia,Rock dove,Duration,vision,duration,yes,,Database,binomial,2022
talwar2001,Talwar and Gerstein,2001,,"Talwar, S.K., Gerstein, G.L., 2001. Reorganization in Awake Rat Auditory Cortex by Local Microstimulation and Its Effect on Frequency-Discrimination Behavior. Journal of Neurophysiology 86, 1555–1572. https://doi.org/10.1152/jn.2001.86.4.1555",Table 2,conditioned,sequential,difference,Rattus,norvegicus,Brown rat,Sound freq.,hearing,frequency,no,,Database,binomial,2022
thiele2024,Thiele et al.,2024,,"Thiele, A., Chen, X., Sanayei, M., Chicharro, D., Distler, C., Panzeri, S., 2024. Perceptual Learning of Fine Contrast Discrimination Under Non-roving, Roving-Without-Flanker, and Roving-with-Flanker Conditions and its Relation to Neuronal Activity in Macaque V1. J Cogn Enhanc 8, 308–333. https://doi.org/10.1007/s41465-024-00298-x",Fig. 5A,conditioned,sequential,rank,Macaca,mulatta,Rhesus macaque,Contrast,vision,contrast,yes,AIC plot,Database,binomial,2024
thuenken2014,Thuenken et al.,2014,,"Thünken, T., Eigster, M., Frommen, J.G., 2014. Context-dependent group size preferences in large shoals of three-spined sticklebacks. Animal Behaviour 90, 205–210. https://doi.org/10.1016/j.anbehav.2014.01.024",Email,innate,simultaneous,rank,Gasterosteus,aculeatus,Three-spined stickleback,Number,vision,number,yes,AIC plot,Database,gaussian,2024
