"filename","reference","authors","year","sub_estimate","citation","data_source","preference","presentation","task","species_1","species_2","common_name","stimulus","modality","stimulus_type","weber_reported","exclude","source","model","search_date","k_estimate","k_lower_95","k_upper_95","AIC_k","AIC_k_95","AIC_0","AIC_1","Estimate","Std..Error","test.statistic","p.value","R2","n_pairs","species","initial","species_short","species_full","standard_error"
"camarillo2012","Camarillo et al. 2012","Camarillo et al.",2012,"","Camarillo, L., Luna, R., Nácher, V., Romo, R., 2012. Coding perceptual discrimination in the somatosensory thalamus. PNAS 109, 21093–21098. https://doi.org/10.1073/pnas.1219636110","Email","conditioned","sequential","rank","Macaca","mulatta","Rhesus macaque","Vibrotactile freq.","touch","frequency","no","","Database","binomial",2022,0.2329,0.0996,0.3669,246.0468,248.0468,252.1586,304.5135,0.496300352773969,0.0193030559141559,25.7109731734242,8.81219478310054e-146,0.99999999999995,12,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",0.0681887755102041
"caves2023","Caves and Kelley 2023","Caves and Kelley",2023,"","Caves, E.M., Kelley, L.A., 2023. Proportional processing of a visual mate choice signal in the green swordtail, Xiphophorus hellerii. Ecol Lett. https://doi.org/10.1111/ele.14179","Data for Caves & Kelley: Proportional processing of a visual mate choice signal in the green swordtail, Xiphophorus hellerii, 2022. https://doi.org/10.6084/m9.figshare.21701645.v3","innate","simultaneous","rank","Xiphophorus","hellerii","Green swordtail","Body size","vision","size","yes","","Database","gaussian",2022,2.0105,0.9463,3.5191,320.9287,322.9287,327.1813,322.7293,129.997983979385,41.3782658222155,3.14169725086909,0.00178738083100245,0.0220985257754962,11,"Xiphophorus hellerii","X.","X. hellerii","Xiphophorus hellerii",0.656326530612245
"colbert2004","Colbert et al. 2004","Colbert et al.",2004,"","Colbert, C.L., Garcea, M., Spector, A.C., 2004. Effects of Selective Lingual Gustatory Deafferentation on Suprathreshold Taste Intensity Discrimination of NaCl in Rats. Behavioral Neuroscience 118, 1409–1417. https://doi.org/10.1037/0735-7044.118.6.1409","Figure 1","conditioned","sequential","difference","Rattus","norvegicus","Brown rat","Salt conc.","taste","concentration","no","AIC plot","Database","binomial",2022,1.2409,1.2092,1.2711,663.3021,665.3021,1676.9464,752.5548,2.45114333843309,0.0451521731117547,54.2862761525639,0,1,6,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",0.0157908163265306
"dehnhardt1994","Dehnhardt 1994","Dehnhardt",1994,"","Dehnhardt, G., 1994. Tactile size discrimination by a California sea lion (Zalophus californianus) using its mystacial vibrissae. J Comp Physiol A 175, 791–800. https://doi.org/10.1007/BF00191851","Fig 3A-D","conditioned","simultaneous","rank","Zalophus","californianus","California sea lion","Size","touch","size","yes","","Database","binomial",2022,0.9633,0.8666,1.0641,67.4015,69.4015,217.5723,67.6754,9.26875318316487,0.894627359768114,10.3604624673756,3.75143782848053e-25,0.999994694568795,29,"Zalophus californianus","Z.","Z. californianus","Zalophus californianus",0.0503826530612245
"dehnhardt1996","Dehnhardt and Dücker 1996","Dehnhardt and Dücker",1996,"","Dehnhardt, G., Dücker, G., 1996. Tactual discrimination of size and shape by a California sea lion (Zalophus californianus). Animal Learning & Behavior 24, 366–374. https://doi.org/10.3758/BF03199008","Figure 3A","conditioned","simultaneous","rank","Zalophus","californianus","California sea lion","Size","touch","size","yes","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zalophus californianus","Z.","Z. californianus","Zalophus californianus",NA
"dixit2022","Dixit et al. 2022","Dixit et al.",2022,"","Dixit, T., Apostol, A.L., Chen, K.-C., Fulford, A.J.C., Town, C.P., Spottiswoode, C.N., 2022. Visual complexity of egg patterns predicts egg rejection according to Weber’s law. Proc R Soc B 289, 20220710. https://doi.org/10.1098/rspb.2022.0710","Dryad | Data -- Visual complexity of egg patterns predicts egg rejection according to Weber’s law [WWW Document], n.d. URL https://datadryad.org/stash/dataset/doi:10.5061/dryad.nvx0k6dvh (accessed 2.10.25).","innate","simultaneous","difference","Prinia","subflava","Tawny-flanked prinia","Egg complexity","vision","complexity","yes","","Database","binomial",2022,1.2417,0.2726,2.0755,99.5097,101.5097,102.4134,99.6715,27.3961371470522,9.50872258670212,2.88115852547486,0.00396216305811022,0.124611431223357,119,"Prinia subflava","P.","P. subflava","Prinia subflava",0.459923469387755
"firzlaff2006","Firzlaff et al. 2006","Firzlaff et al.",2006,"","Firzlaff, U., Schörnich, S., Hoffmann, S., Schuller, G., Wiegrebe, L., 2006. A neural correlate of stochastic echo imaging. J Neurosci 26, 785–791. https://doi.org/10.1523/JNEUROSCI.3478-05.2006","Email","conditioned","sequential","difference","Phyllostomus","discolor","Pale spear-nosed bat","Echo roughness","hearing","complexity","no","","Database","binomial",2022,-2.4305,-2.6138,-2.2644,5309.8815,5311.8815,5758.6726,5755.3531,0.219405676776652,0.0116270741645522,18.870239724243,2.00387427323114e-79,0.129142991596611,51,"Phyllostomus discolor","P.","P. discolor","Phyllostomus discolor",0.0891326530612244
"franks2005_num","Franks et al. 2005","Franks et al.",2005,"number","Franks, N.R., Dornhaus, A., Metherell, B.G., Nelson, T.R., Lanfear, S.A.J., Symes, W.S., 2005. Not everything that counts can be counted: ants use multiple metrics for a single nest trait. Proceedings of the Royal Society B: Biological Sciences 273, 165–169. https://doi.org/10.1098/rspb.2005.3312","Table 1","innate","simultaneous","rank","Temnothorax","albipennis","Rock ant","Number","vision","number","yes","","Database","binomial",2024,1.1599,0.8834,1.3588,64.6698,66.6698,71.8645,65.5415,2.09834886268448,0.724755745012426,2.89524971292018,0.00378857018515292,0.484482155965627,9,"Temnothorax albipennis","T.","T. albipennis","Temnothorax albipennis",0.121275510204082
"franks2005_width","Franks et al. 2005","Franks et al.",2005,"width","Franks, N.R., Dornhaus, A., Metherell, B.G., Nelson, T.R., Lanfear, S.A.J., Symes, W.S., 2005. Not everything that counts can be counted: ants use multiple metrics for a single nest trait. Proceedings of the Royal Society B: Biological Sciences 273, 165–169. https://doi.org/10.1098/rspb.2005.3312","Table 1","innate","simultaneous","rank","Temnothorax","albipennis","Rock ant","Width","touch","size","yes","AIC plot","Database","binomial",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temnothorax albipennis","T.","T. albipennis","Temnothorax albipennis",NA
"frech2012","Frech et al. 2012","Frech et al.",2012,"","Frech, B., Vogtsberger, M., Neumeyer, C., 2012. Visual discrimination of objects differing in spatial depth by goldfish. J Comp Physiol A 198, 53–60. https://doi.org/10.1007/s00359-011-0685-y","Fig 3","conditioned","simultaneous","difference","Carassius","auratus","Goldfish","Distance","vision","size","yes","","Database","binomial",2022,1.1982,1.0375,1.3469,228.7909,230.7909,277.7577,231.761,3.19827769623022,0.312230359215241,10.2433270879512,1.26799385386088e-24,0.941442093158876,57,"Carassius auratus","C.","C. auratus","Carassius auratus",0.0789285714285714
"garderes2024","Garderes et al. 2024","Garderes et al.",2024,"","Gardères, P.-M., Le Gal, S., Rousseau, C., Mamane, A., Ganea, D.A., Haiss, F., 2024. Coexistence of state, choice, and sensory integration coding in barrel cortex LII/III. Nat Commun 15, 4782. https://doi.org/10.1038/s41467-024-49129-9","Fig 1D","conditioned","simultaneous","rank","Mus","musculus","House mouse","Vibrotactile frequency","touch","frequency","no","AIC plot","Database","binomial",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mus musculus","M.","M. musculus","Mus musculus",NA
"gazes2017_food_capuchin","Gazes et al. 2017","Gazes et al.",2017,"food, capuchins","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Email","innate","simultaneous","rank","Sapajus","apella","Capuchin","Quantity","vision","number","yes","","Database","binomial",2024,0.6425,0.3384,0.9204,1105.0539,1107.0539,1112.7144,1108.4095,1.19220417619526,0.122670410033392,9.71875920094119,2.50819155069284e-22,0.131803111936818,22,"Sapajus apella","S.","S. apella","Sapajus apella",0.148469387755102
"gazes2017_food_SM","Gazes et al. 2017","Gazes et al.",2017,"food, spider monkeys","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Email","innate","simultaneous","rank","Saimiri","sciureus","Squirrel monkey","Quantity","vision","number","yes","","Database","binomial",2024,0.8209,0.4875,1.1302,1452.4129,1454.4129,1462.3192,1453.0734,0.959461794441887,0.125643735780384,7.63636792938851,2.23435226836271e-14,0.0684792642608462,22,"Saimiri sciureus","S.","S. sciureus","Saimiri sciureus",0.163954081632653
"gazes2017_pebbles_capuchin","Gazes et al. 2017","Gazes et al.",2017,"pebbles, capuchins","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Email","conditioned","simultaneous","rank","Sapajus","apella","Capuchin","Quantity","vision","number","yes","","Database","binomial",2024,0.4667,-0.7626,1.286,993.616,995.616,994.0683,994.4668,0.247956324586485,0.10246613592621,2.41988557824653,0.0155253914613448,0.00956903488703302,19,"Sapajus apella","S.","S. apella","Sapajus apella",0.522602040816327
"gazes2017_pebbles_SM","Gazes et al. 2017","Gazes et al.",2017,"pebbles, spider monkeys","Gazes, R.P., Billas, A.R., Schmitt, V., 2018. Impact of stimulus format and reward value on quantity discrimination in capuchin and squirrel monkeys. Learn Behav 46, 89–100. https://doi.org/10.3758/s13420-017-0295-9","Email","conditioned","simultaneous","rank","Saimiri","sciureus","Squirrel monkey","Quantity","vision","number","yes","","Database","binomial",2024,-0.0168,-1.8517,1.0415,1079.3806,1081.3806,1079.381,1081.2249,0.118806599822247,0.0476945776060849,2.4909875668359,0.0127388577523937,0.00972215040192394,18,"Saimiri sciureus","S.","S. sciureus","Saimiri sciureus",0.738061224489796
"gerdjikov2018","Gerdjikov et al. 2018 2018","Gerdjikov et al. 2018",2018,"","Gerdjikov, T.V., Bergner, C.G., Schwarz, C., 2018. Global Tactile Coding in Rat Barrel Cortex in the Absence of Local Cues. Cerebral Cortex 28, 2015–2027. https://doi.org/10.1093/cercor/bhx108","Fig 1c","conditioned","sequential","difference","Rattus","norvegicus","Brown rat","Vibrotactile frequency","touch","frequency","yes","AIC plot","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",NA
"gomezlaplaza2011","Gómez-Laplaza and Gerlai 2011","Gómez-Laplaza and Gerlai",2011,"","Gómez-Laplaza, L.M., Gerlai, R., 2011. Can angelfish (Pterophyllum scalare) count? Discrimination between different shoal sizes follows Weber’s law. Anim Cogn 14, 1–9. https://doi.org/10.1007/s10071-010-0337-6","Fig 2","innate","simultaneous","rank","Pterophyllum","scalare","Angelfish","No. conspecifics","vision","number","yes","","Review","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pterophyllum scalare","P.","P. scalare","Pterophyllum scalare",NA
"hampson2010_duration","Hampson et al. 2010","Hampson et al.",2010,"duration","Hampson, C.L., Body, S., den Boon, F.S., Cheung, T.H.C., Bezzina, G., Langley, R.W., Fone, K.C.F., Bradshaw, C.M., Szabadi, E., 2010. Comparison of the effects of 2,5-dimethoxy-4-iodoamphetamine and D-amphetamine on the ability of rats to discriminate the durations and intensities of light stimuli. Behav Pharmacol 21, 11. https://doi.org/10.1097/FBP.0b013e328334707a","Fig 2a","conditioned","sequential","rank","Rattus","norvegicus","Brown rat","Duration","vision","duration","no","","Database","binomial",2022,0.6472,0.2382,1.1306,37.0862,39.0862,42.226,38.2276,0.796497894250369,0.151561966599689,5.25526233341976,1.47813624138745e-07,0.996442614742469,9,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",0.22765306122449
"hampson2010_intensity","Hampson et al. 2010","Hampson et al.",2010,"light intensity","Hampson, C.L., Body, S., den Boon, F.S., Cheung, T.H.C., Bezzina, G., Langley, R.W., Fone, K.C.F., Bradshaw, C.M., Szabadi, E., 2010. Comparison of the effects of 2,5-dimethoxy-4-iodoamphetamine and D-amphetamine on the ability of rats to discriminate the durations and intensities of light stimuli. Behav Pharmacol 21, 11. https://doi.org/10.1097/FBP.0b013e328334707a","Fig 2b","conditioned","sequential","rank","Rattus","norvegicus","Brown rat","Light intensity","vision","intensity","no","","Database","binomial",2022,1.1358,0.9219,1.3561,42.788,44.788,63.188,43.6119,2.72409964854313,0.518124316665345,5.25761783595773,1.45933386304509e-07,0.977967143969751,10,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",0.110765306122449
"hanke2012","Wieskotten et al. 2011","Wieskotten et al.",2011,"","Wieskotten, S., Mauck, B., Miersch, L., Dehnhardt, G., Hanke, W., 2011. Hydrodynamic discrimination of wakes caused by objects of different size or shape in a harbour seal (Phoca vitulina). The Journal of experimental biology 214, 1922–30. https://doi.org/10.1242/jeb.053926","Fig 4C (found in Hanke et al. 2012, Hydrodynamic hydrodynamic perception in pinnipeds)","conditioned","sequential","difference","Phoca","vitulina","Harbour seal","Size","touch","size","yes","","Database","binomial",2024,0.1554,-0.1981,0.4899,92.0022,94.0022,16.1585,15.6383,0.492003670442705,0.503024404261164,0.978091055374051,0.328029291336617,0.813455236912052,13,"Phoca vitulina","P.","P. vitulina","Phoca vitulina",0.175510204081633
"hauf2008_abs","Hauf et al. 2008","Hauf et al.",2008,"absolute","Hauf, P., Prior, H., Sarris, V., 2008. Generalization gradients and representation modes after absolute and relative discrimination learning in young chickens. Behavioural Processes 78, 93–99. https://doi.org/10.1016/j.beproc.2008.01.005","Fig 3 top right","conditioned","simultaneous","difference","Gallus","gallus domesticus","Chicken","Size","vision","size","yes","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gallus gallus domesticus","G.","G. gallus domesticus","Gallus gallus domesticus",NA
"hauf2008_rel","Hauf et al. 2008","Hauf et al.",2008,"relative","Hauf, P., Prior, H., Sarris, V., 2008. Generalization gradients and representation modes after absolute and relative discrimination learning in young chickens. Behavioural Processes 78, 93–99. https://doi.org/10.1016/j.beproc.2008.01.005","Fig 3 bottom right","conditioned","simultaneous","rank","Gallus","gallus domesticus","Chicken","Size","vision","size","yes","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gallus gallus domesticus","G.","G. gallus domesticus","Gallus gallus domesticus",NA
"hemingway2018","Hemingway et al. 2018","Hemingway et al.",2018,"","Hemingway, C.T., Ryan, M.J., Page, R.A., 2018. Cognitive constraints on optimal foraging in frog-eating bats. Anim Behav 143, 43–50. https://doi.org/10.1016/j.anbehav.2018.07.007","Hemingway et al._2018_data.csv [WWW Document], n.d. URL https://figshare.com/articles/dataset/Hemingway_et_al_2018_data_csv/6794081?file=12357545 (accessed 2.10.25).","innate","sequential","rank","Trachops","cirrhosus","Fringe-lipped bat","No. frogs","hearing","number","yes","","Database","binomial",2022,2.6949,1.9929,3.5872,584.1858,586.1858,606.739,596.4275,5.37419030622889,1.14604623304217,4.68933115548329,2.74099494901124e-06,0.0705284120093341,15,"Trachops cirrhosus","T.","T. cirrhosus","Trachops cirrhosus",0.406709183673469
"iwanir2019_salts","Iwanir et al. 2019","Iwanir et al.",2019,"salts","Iwanir, S., Ruach, R., Itskovits, E., Pritz, C.O., Bokman, E., Zaslaver, A., 2019. Irrational behavior in C. elegans arises from asymmetric modulatory effects within single sensory neurons. Nat Commun 10, 3202. https://doi.org/10.1038/s41467-019-11163-3","Supplementary data 1","innate","simultaneous","rank","Caenorhabditis","elegans","Roundworm","Concentration","taste","intensity","no","","Database","gaussian",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caenorhabditis elegans","C.","C. elegans","Caenorhabditis elegans",NA
"iwanir2019_volatiles","Iwanir et al. 2019","Iwanir et al.",2019,"volatiles","Iwanir, S., Ruach, R., Itskovits, E., Pritz, C.O., Bokman, E., Zaslaver, A., 2019. Irrational behavior in C. elegans arises from asymmetric modulatory effects within single sensory neurons. Nat Commun 10, 3202. https://doi.org/10.1038/s41467-019-11163-3","Supplementary data 1","innate","simultaneous","rank","Caenorhabditis","elegans","Roundworm","Concentration","smell","intensity","no","","Database","gaussian",2022,0.996,0.9785,1.0134,-84.1843,-82.1843,50.562,-84.0748,0.456554385163639,0.0162545728738868,28.0877503645206,1.89107924671433e-31,0.99999991897922,14,"Caenorhabditis elegans","C.","C. elegans","Caenorhabditis elegans",0.00890306122448981
"klink2004","Klink and Klump 2004","Klink and Klump",2004,"","Klink, K.B., Klump, G.M., 2004. Duration discrimination in the mouse (Mus musculus). J Comp Physiol A 190, 1039–1046. https://doi.org/10.1007/s00359-004-0561-0","Fig 1","conditioned","sequential","difference","Mus","musculus","House mouse","Duration","hearing","duration","yes","","both","binomial",2022,0.8928,0.8695,0.9155,1098.4661,1100.4661,2076.9145,1145.5962,3.01184351463563,0.0737952705874826,40.813503232096,0,0.999999903843363,143,"Mus musculus","M.","M. musculus","Mus musculus",0.011734693877551
"kloepper2010","Kloepper et al. 2010","Kloepper et al.",2010,"","Kloepper, L.N., Nachtigall, P.E., Gisiner, R., Breese, M., 2010. Decreased echolocation performance following high-frequency hearing loss in the false killer whale (Pseudorca crassidens). Journal of Experimental Biology 213, 3717–3722. https://doi.org/10.1242/jeb.042788","Fig 2","conditioned","sequential","difference","Pseudorca","crassidens","False killer whale","Thickness","hearing","size","no","","Database","binomial",2022,0.6931,-2.1356,3.5546,172.8833,174.8833,173.0039,172.9069,13.7715382874747,2.09388280971071,6.57703393122431,4.79925287475068e-11,0.935839086027714,12,"Pseudorca crassidens","P.","P. crassidens","Pseudorca crassidens",1.45158163265306
"kwek2023","Kwek et al. 2023","Kwek et al.",2023,"","Kwek, B.Z.W., Zhou, W., Yu, L., Ding, G., Li, D., 2023. Female preference for males with lower pattern contrast follows Weber’s law of proportional processing in jumping spiders. Functional Ecology. https://doi.org/10.1111/1365-2435.14400","Kwek, B.Z.W., Zhou, W., Yu, L., Ding, G., Li, D., 2023. Data from: Female preference for males with lower pattern contrast follows Weber’s law of proportional processing in an ornate jumping spider. https://doi.org/10.5061/DRYAD.63XSJ3V62","innate","simultaneous","rank","Siler","semiglaucus","Jade jumping spider","Contrast","vision","contrast","yes","AIC plot","Database","gaussian",2022,1.6721,1.3026,2.9771,-59.7073,-57.7073,-58.6976,-56.5888,0.00285661438688855,0.00160888592797723,1.77552325942712,0.0783894227779531,0.0264637735714768,114,"Siler semiglaucus","S.","S. semiglaucus","Siler semiglaucus",0.427168367346939
"labarbera2020","LaBarbera et al. 2020","LaBarbera et al.",2020,"","LaBarbera, K., Nelson, P., Bee, M., 2020. Mate choice and the ‘opposite miss’ to Weber’s law: proportional processing governs signal preferences in a treefrog. Anim Behav 168, 199–209. https://doi.org/10.1016/j.anbehav.2020.08.014","LaBarbera, K., Nelson, P.B., Bee, M.A., 2020. Advertisement call length preferences of female Cope’s gray treefrogs (Hyla chrysoscelis) in two-alternative choice tests.","innate","simultaneous","rank","Hyla","chrysoscelis","Cope's gray treefrog","Call pulse no.","hearing","number","yes","","Database","binomial",2022,1.5816,1.3764,1.8176,1021.0983,1023.0983,1065.3004,1036.5698,27.9899007218317,4.42716545057091,6.32230736220221,2.57686168872202e-10,0.0788656329412273,15,"Hyla chrysoscelis","H.","H. chrysoscelis","Hyla chrysoscelis",0.112551020408163
"langen1999","Langen 1999","Langen",1999,"","Langen, T.A., 1999. How western scrub-jays (Aphelocoma californica) select a nut:  effects of the number of options, variation in nut size,  and social competition among foragers. Anim Cogn 2, 223–233. https://doi.org/10.1007/s100710050043","Email","innate","sequential","rank","Aphelocoma","californica","Western scrub-jay","Weight","touch","size","yes","","Database","binomial",2024,8.286,4.2998,14.8366,295.2807,297.2807,316.752,308.9047,93.1751451415791,16.9174433410622,5.50763748771798,3.63681351987239e-08,0.189509625909916,16,"Aphelocoma californica","A.","A. californica","Aphelocoma californica",2.68795918367347
"lemus2009","Lemus et al. 2009","Lemus et al.",2009,"","Lemus, L., Hernández, A., Romo, R., 2009. Neural encoding of auditory discrimination in ventral premotor cortex. Proceedings of the National Academy of Sciences 106, 14640–14645. https://doi.org/10.1073/pnas.0907505106","Fig 1B","conditioned","sequential","rank","Macaca","mulatta","Rhesus macaque","Sound flutter freq.","hearing","frequency","no","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",NA
"limousin2009","Limousin and Greenfield 2009","Limousin and Greenfield",2009,"","Limousin, D., Greenfield, M.D., 2009. Evaluation of amplitude in male song: female waxmoths respond to fortissimo notes. Journal of Experimental Biology 212, 4091–4100. https://doi.org/10.1242/jeb.035345","Fig 1a","innate","simultaneous","rank","Achroia","grisella","Lesser wax moth","Sound amplitude","hearing","intensity","no","AIC plot","Database","binomial",2022,-8.4526,-13.878,3.463,7.9481,9.9481,9.562,9.7051,3.44367920204103e-15,4.68290944420756e-14,0.0735371726288798,0.94137866465597,0.999999999999991,4,"Achroia grisella","A.","A. grisella","Achroia grisella",4.42372448979592
